'Asana', 'nose_x', 'nose_y', 'left_eye_inner_x', 'left_eye_inner_y', 'left_eye_x', 'left_eye_y', 'left_eye_outer_x', 'left_eye_outer_y', 'right_eye_inner_x', 'right_eye_inner_y', 'right_eye_x', 'right_eye_y', 'right_eye_outer_x', 'right_eye_outer_y', 'left_ear_x', 'left_ear_y', 'right_ear_x', 'right_ear_y', 'mouth_left_x', 'mouth_left_y', 'mouth_right_x', 'mouth_right_y', 'left_shoulder_x', 'left_shoulder_y', 'right_shoulder_x', 'right_shoulder_y', 'left_elbow_x', 'left_elbow_y', 'right_elbow_x', 'right_elbow_y', 'left_wrist_x', 'left_wrist_y', 'right_wrist_x', 'right_wrist_y', 'left_pinky_x', 'left_pinky_y', 'right_pinky_x', 'right_pinky_y', 'left_index_x', 'left_index_y', 'right_index_x', 'right_index_y', 'left_thumb_x', 'left_thumb_y', 'right_thumb_x', 'right_thumb_y', 'left_hip_x', 'left_hip_y', 'right_hip_x', 'right_hip_y', 'left_knee_x', 'left_knee_y', 'right_knee_x', 'right_knee_y', 'left_ankle_x', 'left_ankle_y', 'right_ankle_x', 'right_ankle_y', 'left_heel_x', 'left_heel_y', 'right_heel_x', 'right_heel_y', 'left_foot_index_x', 'left_foot_index_y', 'right_foot_index_x', 'right_foot_index_y'
vrikshasana,257,139,268,128,273,128,278,128,260,127,259,127,258,127,294,136,269,134,265,154,257,153,335,209,233,213,386,285,190,288,297,286,268,288,285,273,282,274,284,266,283,267,287,271,280,272,306,365,249,357,294,490,143,422,272,591,268,408,270,603,282,399,272,628,290,452
vrikshasana,818,272,826,257,831,256,837,256,809,258,803,258,798,259,843,264,793,264,829,288,809,287,883,332,769,328,929,239,719,237,962,131,687,129,975,99,675,101,971,95,681,93,964,106,689,104,841,551,767,539,813,712,614,614,795,861,775,623,788,883,795,616,792,901,800,693
vrikshasana,192,112,194,106,196,106,198,106,188,107,186,107,184,108,202,109,182,112,197,118,190,118,220,137,177,142,219,89,165,92,200,46,180,50,193,39,185,40,192,38,185,40,193,41,185,43,216,231,185,233,271,276,190,313,212,302,201,380,203,298,204,386,198,331,200,398
vrikshasana,1914,2416,1949,2363,1975,2364,1997,2365,1874,2366,1852,2369,1833,2373,2027,2392,1816,2407,1962,2489,1874,2487,2204,2779,1666,2732,2337,3056,1504,3099,2172,2983,1830,3023,2071,2970,1927,2984,2051,2951,1936,2970,2061,2962,1912,2981,2015,3650,1707,3624,1988,4354,1245,4010,1945,4913,1831,3905,1926,4965,1905,3842,1933,5081,1938,4193
vrikshasana,1967,2686,1991,2629,2005,2630,2022,2631,1923,2629,1889,2631,1858,2634,2037,2670,1816,2667,1993,2746,1913,2746,2141,2975,1713,2975,2112,2488,1705,2482,1940,2071,1829,2089,1921,1955,1877,1960,1922,1952,1886,1969,1921,1992,1876,2010,2059,3879,1745,3862,2019,4561,1273,4272,1963,5158,1876,4189,1934,5230,1948,4124,1941,5398,1979,4450
vrikshasana,1506,1545,1535,1480,1554,1477,1571,1476,1473,1482,1448,1480,1424,1480,1600,1509,1384,1507,1544,1603,1468,1599,1724,1765,1227,1759,1757,1244,1198,1235,1571,772,1423,791,1538,671,1475,673,1532,672,1473,680,1534,709,1463,717,1610,2723,1280,2769,2144,3149,1313,3455,1493,3110,1366,3962,1411,3044,1372,3994,1341,3396,1454,4227
vrikshasana,2300,2194,2343,2102,2379,2099,2411,2095,2235,2104,2199,2103,2170,2104,2462,2124,2155,2138,2384,2289,2251,2276,2688,2520,2038,2527,2638,1775,1935,1758,2304,1145,2125,1124,2251,990,2181,972,2246,988,2189,970,2257,1046,2185,1026,2480,3965,1996,3909,2431,4944,1163,4518,2287,5748,2094,4409,2278,5851,2161,4281,2173,6121,2148,4749
vrikshasana,2039,1861,2080,1808,2108,1810,2132,1812,2004,1808,1981,1811,1956,1813,2173,1851,1939,1855,2102,1939,2002,1942,2381,2280,1799,2262,2568,2685,1521,2684,2138,2498,1960,2464,2078,2428,2020,2371,2069,2384,2033,2342,2086,2416,2024,2375,2198,3357,1847,3327,2130,4147,1210,3790,2008,4950,1959,3714,1990,5022,2053,3637,1971,5221,2130,3977
vrikshasana,2591,2922,2660,2833,2694,2831,2731,2828,2556,2832,2526,2829,2493,2826,2780,2856,2478,2858,2668,3011,2539,2995,2965,3256,2341,3244,2981,2567,2307,2549,2730,1950,2552,1963,2691,1781,2610,1794,2678,1774,2617,1783,2684,1834,2609,1840,2801,4667,2333,4582,2613,5584,1512,5058,2505,6396,2334,4986,2448,6517,2443,4928,2555,6676,2515,5369
vrikshasana,457,161,463,153,466,154,469,154,453,153,450,153,447,153,473,158,443,158,464,170,452,170,498,213,419,212,518,276,398,277,467,246,444,246,460,231,454,230,460,226,453,226,461,231,451,231,473,338,427,331,456,433,344,382,445,523,433,371,442,533,443,366,445,549,451,411
vrikshasana,554,381,548,369,545,368,542,368,553,369,554,369,555,369,529,373,549,377,549,392,554,393,484,433,545,434,482,317,563,327,516,227,534,226,513,198,531,196,516,197,527,198,517,208,528,210,509,671,530,666,510,836,690,734,512,982,542,747,510,1003,526,740,518,1003,528,783
sidhasana,3244,1395,3333,1355,3372,1361,3417,1369,3270,1344,3258,1342,3247,1340,3521,1457,3314,1427,3286,1516,3217,1491,3816,2069,3083,2083,3810,2804,2958,2810,3579,3060,2358,2969,3544,3185,2180,3042,3491,3110,2152,2990,3493,3077,2211,2973,3632,3224,3193,3207,3547,3440,2313,3143,2733,3607,3372,3638,2730,3560,3510,3566,2167,3549,3700,3817
sidhasana,3244,1395,3333,1355,3372,1361,3417,1369,3270,1344,3258,1342,3247,1340,3521,1457,3314,1427,3286,1516,3217,1491,3816,2069,3083,2083,3810,2804,2958,2810,3579,3060,2358,2969,3544,3185,2180,3042,3491,3110,2152,2990,3493,3077,2211,2973,3632,3224,3193,3207,3547,3440,2313,3143,2733,3607,3372,3638,2730,3560,3510,3566,2167,3549,3700,3817
sidhasana,4296,2360,4335,2295,4360,2296,4387,2296,4253,2294,4215,2292,4184,2292,4429,2324,4145,2313,4335,2438,4241,2442,4617,2707,3946,2672,4835,3139,3691,3073,5076,3448,3454,3331,5208,3534,3357,3407,5179,3529,3377,3386,5113,3510,3422,3363,4425,3440,4049,3420,4892,3538,3599,3377,4118,3737,4230,3812,4046,3722,4314,3859,3948,3845,4576,3954
sidhasana,2117,1908,2171,1851,2203,1854,2236,1857,2121,1847,2111,1846,2102,1845,2316,1889,2155,1870,2178,1990,2108,1976,2518,2279,1986,2253,2435,2720,1733,2683,2387,3092,1380,3035,2393,3234,1259,3103,2341,3221,1281,3103,2320,3179,1338,3086,2286,3093,1955,3035,2190,3284,1342,3195,1858,3240,2105,3272,1869,3186,2189,3278,1605,3178,2351,3443
sidhasana,3044,1827,3112,1756,3152,1757,3191,1760,3011,1758,2973,1761,2940,1767,3269,1826,2905,1831,3122,1942,2990,1936,3510,2361,2666,2416,3601,2940,2218,2963,3888,3154,1619,3177,4017,3165,1428,3200,4015,3114,1429,3179,3954,3105,1499,3184,3323,3483,2824,3517,3586,3245,1973,3275,2665,3869,3111,3843,2594,3858,3219,3861,2231,3878,3420,3874
sidhasana,3257,1445,3178,1337,3173,1334,3165,1331,3149,1358,3123,1371,3094,1383,3031,1423,2945,1479,3249,1571,3209,1576,3025,2166,2651,2148,3340,3009,3160,2996,3497,2580,3453,2503,3519,2411,3492,2333,3452,2306,3426,2264,3423,2378,3404,2321,2929,3572,2503,3711,4015,3171,3458,3468,3585,3911,3841,3797,3377,4014,3741,3834,3869,4061,4070,3895
sidhasana,3257,1445,3178,1337,3173,1334,3165,1331,3149,1358,3123,1371,3094,1383,3031,1423,2945,1479,3249,1571,3209,1576,3025,2166,2651,2148,3340,3009,3160,2996,3497,2580,3453,2503,3519,2411,3492,2333,3452,2306,3426,2264,3423,2378,3404,2321,2929,3572,2503,3711,4015,3171,3458,3468,3585,3911,3841,3797,3377,4014,3741,3834,3869,4061,4070,3895
